,name,category,original,sale,link
1586,Nike Sportswear Premium Essential,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-premium-essential-mens-t-shirt-SS1mBB/DB3193-010
1587,Nike Therma,Men's Basketball Pants,$200,$150.97,https://www.nike.com/t/therma-mens-basketball-pants-lvkRL2/DM0995-010
1588,Nike Therma HBR,Men's Basketball Pullover Hoodie,$200,$150.97,https://www.nike.com/t/therma-hbr-mens-basketball-pullover-hoodie-fLPnB7/DM0992-010
1589,Nike Therma-FIT Repel Run Division Miler,Men's Running Jacket,$200,$150.97,https://www.nike.com/t/therma-fit-repel-run-division-miler-mens-running-jacket-dfK1hf/DD6102-077
1590,Nike Benassi JDI,Men's Slides,$200,$150.97,https://www.nike.com/t/benassi-jdi-mens-slides-JMOEGm/343880-001
1591,Nike Air Max 97,Men's Shoes,$200,$150.97,https://www.nike.com/t/air-max-97-mens-shoes-7HhHJk/DM8126-001
1592,"Nike SFB Field 2 8"" GORE-TEX",Tactical Boot,$200,$150.97,https://www.nike.com/t/sfb-field-2-8-gore-tex-tactical-boot-hk7SJs/AQ1199-001
1593,Nike Free X Metcon 2,Men's Training Shoe,$200,$150.97,https://www.nike.com/t/free-x-metcon-2-mens-training-shoe-9s2JzN/AQ8306-004
1594,Nike Free Run Trail,Men's Shoes,$200,$150.97,https://www.nike.com/t/free-run-trail-mens-shoes-Hk55DQ/CW5814-400
1595,Nike Air Max 90,Men's Shoes,$200,$150.97,https://www.nike.com/t/air-max-90-mens-shoes-0dDPPK/DM8316-400
1596,Nike Air Max Pre-Day LX,Men's Shoes,$200,$150.97,https://www.nike.com/t/air-max-pre-day-lx-mens-shoes-JBXGg7/DC5330-300
1597,Nike Sportswear Swoosh,Men's Hoodie,$200,$150.97,https://www.nike.com/t/sportswear-swoosh-mens-hoodie-2Y7gjl/826433-063
1598,Nike Blazer Low X,Men's Shoes,$200,$150.97,https://www.nike.com/t/blazer-low-x-mens-shoes-SBj1Gh/DA2045-100
1599,Nike Air Zoom-Type SE,Men's Shoes,$200,$150.97,https://www.nike.com/t/air-zoom-type-se-mens-shoes-QPrxxj/CV2220-100
1600,Nike SB,Fleece Graphic Skate Shorts,$200,$150.97,https://www.nike.com/t/sb-fleece-graphic-skate-shorts-xZBQ5F/DH1994-010
1601,Nike Challenger OG,Men's Shoes,$200,$150.97,https://www.nike.com/t/challenger-og-mens-shoes-wrhSPb/CW7645-002
1602,Nike SB Zoom Stefan Janoski Canvas RM,Skate Shoes,$200,$150.97,https://www.nike.com/t/sb-zoom-stefan-janoski-canvas-rm-skate-shoes-qfDpRn/AR7718-500
1603,Nike Dri-FIT Legend,Men's Training T-Shirt,$200,$150.97,https://www.nike.com/t/dri-fit-legend-mens-training-t-shirt-knTPqEkv/718833-010
1604,Nike Free RN 2018,Men's Running Shoe,$200,$150.97,https://www.nike.com/t/free-rn-2018-mens-running-shoe-4VTnGqeZ/942836-003
1605,Nike Chance,Sunglasses,$200,$150.97,https://www.nike.com/t/chance-sunglasses-4xc9pk/EV1218-266
1606,Nike Yoga,Men's Pants,$200,$150.97,https://www.nike.com/t/yoga-mens-pants-FCVVZG/CU6782-203
1607,"Nike Pro ""Sports Specialties"" Script",Cap,$200,$150.97,https://www.nike.com/t/pro-sports-specialties-script-cap-THgBfK/DJ5695-010
1608,Nike Sportswear Tech Fleece,Men's Shorts,$200,$150.97,https://www.nike.com/t/sportswear-tech-fleece-mens-shorts-8sXggV/CU4503-410
1609,"Nike Therma-FIT ADV ACG ""Lunar Lake""",Puffer Vest,$200,$150.97,https://www.nike.com/t/therma-fit-adv-acg-lunar-lake-puffer-vest-2jQXXX/DH3075-010
1610,Nike Sportswear Club,Men's French Terry Hoodie,$200,$150.97,https://www.nike.com/t/sportswear-club-mens-french-terry-hoodie-zHSNdX/DO6163-310
1611,Nike React Tiempo Legend 9 Pro IC,Indoor/Court Soccer Shoe,$200,$150.97,https://www.nike.com/t/react-tiempo-legend-9-pro-ic-indoor-court-soccer-shoe-JjRFg1/DA1183-403
1612,Nike Dri-FIT,Men's Running T-Shirt,$200,$150.97,https://www.nike.com/t/dri-fit-mens-running-t-shirt-0X7STF/DD4470-063
1613,Jordan Dri-FIT Air,Men's Diamond Allover Printed Shorts,$200,$150.97,https://www.nike.com/t/jordan-dri-fit-air-mens-diamond-allover-printed-shorts-KBxg43/DD0850-010
1614,Nike Sportswear,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-mens-t-shirt-2l020l/CN1427-010
1615,Nike SuperRep Go 2,Men's Training Shoes,$200,$150.97,https://www.nike.com/t/superrep-go-2-mens-training-shoes-JdlPlj/DH2728-091
1616,Nike AeroSwift,"Men's 2"" Running Shorts",$200,$150.97,https://www.nike.com/t/aeroswift-mens-2-running-shorts-5qt7L7/CJ7837-639
1617,Nike Sportswear Fantasy Creature,Men's Hoodie,$200,$150.97,https://www.nike.com/t/sportswear-fantasy-creature-mens-hoodie-2tmLLg/DM2249-133
1618,Nike Dri-FIT Victory,Men's Printed Golf Polo,$200,$150.97,https://www.nike.com/t/dri-fit-victory-mens-printed-golf-polo-3HlqLP/CU9843-842
1619,Nike Sportswear,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-mens-t-shirt-WMplNS/AR4993-800
1620,Jordan New York City,Men's Pullover Hoodie,$200,$150.97,https://www.nike.com/t/jordan-new-york-city-mens-pullover-hoodie-p0QRNZ/DD8068-091
1621,Nike Dri-FIT Elite Stripe,Men's Basketball Shorts,$200,$150.97,https://www.nike.com/t/dri-fit-elite-stripe-mens-basketball-shorts-T5Pssx/CV1748-101
1622,Nike ACG,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/acg-mens-t-shirt-64ddhd/DJ3642-670
1623,Nike Sportswear Tech Fleece,Men's Washed Joggers,$200,$150.97,https://www.nike.com/t/sportswear-tech-fleece-mens-washed-joggers-4KR10t/CZ9918-455
1624,Nike Dri-FIT DNA 3.0,Men's Basketball Shorts,$200,$150.97,https://www.nike.com/t/dri-fit-dna-3-mens-basketball-shorts-Pg98XL/DA5844-065
1625,Nike Everyday Cotton Stretch,Men's Boxer Briefs (3-Pack),$200,$150.97,https://www.nike.com/t/everyday-cotton-stretch-mens-boxer-briefs-3-pack-vRjq5Z/KE1107-811
1626,Nike Sportswear,Men's Long-Sleeve T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-mens-long-sleeve-t-shirt-qwrWHM/CI6291-102
1627,Nike Sportswear,Men's T-Shirt,$200,$150.97,https://www.nike.com/t/sportswear-mens-t-shirt-5005p3/DD1272-307
1628,Nike React Infinity Run Flyknit 2,Men's Road Running Shoes,$200,$150.97,https://www.nike.com/t/react-infinity-run-flyknit-2-mens-road-running-shoes-DttDF2/CT2357-006
1629,Nike Dri-FIT Vapor,Men's Golf Polo,$200,$150.97,https://www.nike.com/t/dri-fit-vapor-mens-golf-polo-pGxCd1/CU9531-010
1630,Nike Dri-FIT,Men's Basketball Jersey,$200,$150.97,https://www.nike.com/t/dri-fit-mens-basketball-jersey-T1qLCl/DA1041-010
1631,Nike DBreak-Type,Men's Shoes,$200,$150.97,https://www.nike.com/t/dbreak-type-mens-shoes-CxCBss/CJ1156-601
1632,Nike Therma (MLB Boston Red Sox),Men's Pullover,$200,$150.97,https://www.nike.com/t/therma-boston-red-sox-mens-pullover-R5dptC/NKXBN1E-BR7
1633,Nike Sportswear Therma-FIT Legacy,Men's Hooded Jacket,$200,$150.97,https://www.nike.com/t/sportswear-therma-fit-legacy-mens-hooded-jacket-dpRlXW/DD6857-084
